window_ts,unit_parent_number,uat_event_ts,prod_event_ts,uat_delay,prod_delay,delay_improvement
2023-10-10 15:35:00.000000 UTC,621040,2023-10-10 15:44:48.287442 UTC,2023-10-10 16:16:47.847824 UTC,588,2507,0
2023-10-10 22:35:00.000000 UTC,621040,2023-10-10 22:44:44.887292 UTC,2023-10-10 23:06:41.148056 UTC,584,1901,0
2023-10-10 22:40:00.000000 UTC,621040,2023-10-10 22:44:44.887292 UTC,2023-10-10 23:06:41.148056 UTC,284,1601,0
2023-10-10 22:30:00.000000 UTC,621040,2023-10-10 22:34:37.021119 UTC,2023-10-10 23:17:19.837078 UTC,277,2839,0
2023-10-10 16:10:00.000000 UTC,621040,2023-10-10 16:14:46.539937 UTC,2023-10-10 17:16:52.683184 UTC,286,4012,0
2023-10-10 10:25:00.000000 UTC,621383,2023-10-10 10:34:45.319644 UTC,2023-10-10 10:56:41.019356 UTC,585,1901,0
2023-10-10 10:15:00.000000 UTC,621383,2023-10-10 10:24:31.246439 UTC,2023-10-10 11:06:44.889047 UTC,571,3104,0
2023-10-10 03:35:00.000000 UTC,621210,2023-10-10 03:44:48.115242 UTC,2023-10-10 04:06:27.283586 UTC,588,1887,0
2023-10-10 01:25:00.000000 UTC,620636,2023-10-10 01:34:40.514064 UTC,2023-10-10 01:46:50.323055 UTC,580,1310,0
2023-10-10 17:40:00.000000 UTC,621438,2023-10-10 17:44:38.159080 UTC,2023-10-10 18:06:49.733863 UTC,278,1609,0
2023-10-10 17:45:00.000000 UTC,621438,2023-10-10 17:54:28.752542 UTC,2023-10-10 18:06:49.733863 UTC,568,1309,0
2023-10-10 17:50:00.000000 UTC,621438,2023-10-10 17:54:28.752542 UTC,2023-10-10 18:26:28.906695 UTC,268,2188,0
2023-10-10 17:55:00.000000 UTC,621438,2023-10-10 18:04:57.437760 UTC,2023-10-10 18:36:39.386926 UTC,597,2499,0
2023-10-10 04:00:00.000000 UTC,621155,2023-10-10 04:04:39.072911 UTC,2023-10-10 05:06:24.911694 UTC,279,3984,0
2023-10-10 03:45:00.000000 UTC,621155,2023-10-10 03:54:29.591313 UTC,2023-10-10 04:16:32.878804 UTC,569,1892,0
2023-10-10 03:55:00.000000 UTC,621155,2023-10-10 04:04:39.072911 UTC,2023-10-10 04:06:27.283586 UTC,579,687,0
2023-10-10 03:40:00.000000 UTC,621155,2023-10-10 03:44:48.115242 UTC,2023-10-10 04:06:27.283586 UTC,288,1587,0
2023-10-10 04:05:00.000000 UTC,621155,2023-10-10 04:14:45.774088 UTC,2023-10-10 04:26:38.780935 UTC,585,1298,0
2023-10-10 03:50:00.000000 UTC,621155,2023-10-10 03:54:29.591313 UTC,2023-10-10 04:06:27.283586 UTC,269,987,0
2023-10-10 03:55:00.000000 UTC,620569,2023-10-10 04:04:39.072911 UTC,2023-10-10 04:06:27.283586 UTC,579,687,0
2023-10-10 04:10:00.000000 UTC,620569,2023-10-10 04:14:45.774088 UTC,2023-10-10 05:06:24.911694 UTC,285,3384,0
2023-10-10 13:25:00.000000 UTC,620569,2023-10-10 13:34:39.965502 UTC,2023-10-10 13:56:46.100986 UTC,579,1906,0
2023-10-10 04:05:00.000000 UTC,620569,2023-10-10 04:14:45.774088 UTC,2023-10-10 05:06:24.911694 UTC,585,3684,0
2023-10-10 04:00:00.000000 UTC,620569,2023-10-10 04:04:39.072911 UTC,2023-10-10 04:06:27.283586 UTC,279,387,0
2023-10-10 03:50:00.000000 UTC,620569,2023-10-10 03:54:29.591313 UTC,2023-10-10 04:06:27.283586 UTC,269,987,0
